geom_x_y;geom;C_NAT_B;L_NAT_B;C_SRC;L_SRC;M2;NB_PL;M2_PL_TOT;B_RDC;C_PLAN_H_I;Y;L_PLAN_H_I;X;D_CRE;L_B_U;D_MAJ;N_AR;L_PLAN_H;H_ET_MAX;N_QU;OBJECTID;Identifiant s?quentiel;Arrondissement contenant le bati;Parcelle contenant le bati;Quartier contenant le bati;AREA;SHAPE.AREA;SHAPE.LEN;dist
48.8274081146,2.38513142041;"{""type"": ""Polygon"", ""coordinates"": [[[2.385156579986841, 48.8274339845419], [2.385159991026567, 48.82743085068024], [2.385140623087957, 48.82742166925013], [2.385124828565754, 48.82741418171874], [2.385140670844038, 48.82739994877002], [2.385100990200574, 48.82738107829312], [2.385099358071726, 48.82738260153129], [2.385137033901434, 48.827400869914726], [2.385121852562682, 48.82741542463874], [2.385138270410085, 48.82742353594168], [2.385155522876268, 48.82743133405501], [2.385153934520368, 48.827432726210674], [2.385156579986841, 48.8274339845419]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;1.8964195;7.0;13.2749365;0.0;4.0;125216.0558209;Bâti de 9 à 12 étages;603568.6123815;2010-07-21T04:00:00+02:00;3a9;2010-07-21T04:00:00+02:00;13;;9.0;50.0;536139;750170100;750000013;750031416;750000050;;0.0;0.0;
48.8272293841,2.3847336112;"{""type"": ""Polygon"", ""coordinates"": [[[2.384739325132708, 48.82725964761194], [2.384742770046282, 48.8272547988338], [2.384745757323124, 48.827250984676915], [2.384748259198208, 48.82724778768996], [2.384751917314584, 48.827240801302125], [2.384757010854756, 48.82723106932143], [2.384758393289523, 48.827228427783254], [2.38474889473712, 48.82722371387544], [2.384753219690729, 48.82722001182662], [2.384721921583155, 48.82720510470582], [2.384714194969687, 48.82721252974008], [2.3847206900263203, 48.827215621920075], [2.384705785702895, 48.8272319758636], [2.384742342482762, 48.82724936083066], [2.3847348404737803, 48.82725622131663], [2.384733123337365, 48.82725779088001], [2.384739325132708, 48.82725964761194]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;10.9752587;5.0;54.8762935;0.0;3.0;125194.8338818;Bâti de 4 à 8 étages;603539.434014;2010-07-21T04:00:00+02:00;2_et_5a8;2010-07-21T04:00:00+02:00;13;;8.0;50.0;536161;750170122;750000013;750031416;750000050;;0.0;0.0;
48.826584993,2.38317285807;"{""type"": ""Polygon"", ""coordinates"": [[[2.383162359456629, 48.826596516811456], [2.383197331400254, 48.82656321804715], [2.3831588833415083, 48.82659524425716], [2.383162359456629, 48.826596516811456]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;0.6541239999999999;8.0;5.2329922;1.0;3.0;125123.3461853;Bâti de 4 à 8 étages;603424.9984563;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+7;7.0;50.0;536185;750170551;750000013;750031406;750000050;;0.0;0.0;
48.8266569624,2.3830919311;"{""type"": ""Polygon"", ""coordinates"": [[[2.383054705950134, 48.82669901788791], [2.383145945988593, 48.82661214418845], [2.383161463967014, 48.82659737019394], [2.383157907969227, 48.82659605675585], [2.383038822949116, 48.826695252119684], [2.383054705950134, 48.82669901788791]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;10.3101384;5.0;51.5506918;0.0;3.0;125130.567396;Bâti de 4 à 8 étages;603419.655441;2010-07-21T04:00:00+02:00;3a7;2010-07-21T04:00:00+02:00;13;;7.0;50.0;536246;750171801;750000013;750031406;750000050;;0.0;0.0;
48.8265603845,2.38303592145;"{""type"": ""Polygon"", ""coordinates"": [[[2.383025496400361, 48.82666273580811], [2.38303589641302, 48.82665283340877], [2.3830291901410092, 48.82664976252949], [2.38310655844922, 48.82657609652626], [2.383154617859806, 48.826593684328884], [2.3832179493656582, 48.82653829844503], [2.383010296257277, 48.82646637382514], [2.382875862207319, 48.82659437409717], [2.383025496400361, 48.82666273580811]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;263.635063;10.0;2636.3506304000002;1.0;4.0;125121.066375;Bâti de 9 à 12 étages;603415.801003;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+9;9.0;50.0;536250;750171805;750000013;750031406;750000050;;0.0;0.0;
48.8268337372,2.38287271901;"{""type"": ""Polygon"", ""coordinates"": [[[2.382884727932288, 48.82685436995967], [2.382887136107441, 48.826852077295094], [2.382883964431776, 48.82683037796067], [2.382858028123528, 48.82681849471976], [2.382853280900827, 48.826816319822484], [2.382851054626304, 48.82681843534943], [2.382850770815224, 48.82681870639462], [2.382884727932288, 48.82685436995967]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;3.9003886999999997;7.0;27.302721;0.0;3.0;125150.6496856;Bâti de 4 à 8 étages;603402.66845;2010-07-21T04:00:00+02:00;2a8;2010-07-21T04:00:00+02:00;13;;8.0;50.0;536321;750172673;750000013;750031409;750000050;;0.0;0.0;
48.8268457198,2.38285807076;"{""type"": ""Polygon"", ""coordinates"": [[[2.382881039898677, 48.82685788096489], [2.382883368158811, 48.82685566523406], [2.382835141290822, 48.82683356970832], [2.382832802026658, 48.82683579437522], [2.382881039898677, 48.82685788096489]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;1.2951541;7.0;9.0660786;1.0;3.0;125152.325559;Bâti de 4 à 8 étages;603401.8695366;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+6;6.0;50.0;536322;750172674;750000013;750031409;750000050;;0.0;0.0;
48.8274653166,2.38440126632;"{""type"": ""Polygon"", ""coordinates"": [[[2.384413707426916, 48.827476778332546], [2.38442184947827, 48.8274695928915], [2.384409634169658, 48.827463774935296], [2.384388744344044, 48.827453825580136], [2.384380749961067, 48.82746107923203], [2.384413707426916, 48.827476778332546]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;2.9833343;3.0;8.9500028;1.0;3.0;125221.293876;Bâti de 4 à 8 étages;603515.1255888;2010-07-21T04:00:00+02:00;Ra1_et_encorbt_au_5;2010-07-21T04:00:00+02:00;13;;5.0;50.0;535677;750169660;750000013;750031416;750000050;;0.0;0.0;
48.8275426231,2.38420791796;"{""type"": ""Polygon"", ""coordinates"": [[[2.384216934261485, 48.82755521579872], [2.38422947113855, 48.827544533758775], [2.384198789313575, 48.82752991927647], [2.384186537328904, 48.82754093015165], [2.384216934261485, 48.82755521579872]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;4.1666602;1.0;4.1666602;0.0;3.0;125229.8768675;Bâti de 4 à 8 étages;603500.9101149;2010-07-21T04:00:00+02:00;encorbt_au_5;2010-07-21T04:00:00+02:00;13;;5.0;50.0;536012;750174765;750000013;750031416;750000050;;0.0;0.0;
48.8274479818,2.3843648597;"{""type"": ""Polygon"", ""coordinates"": [[[2.384376185146007, 48.827458904436696], [2.384384151074258, 48.82745163804739], [2.384372252738265, 48.82744597101458], [2.384353569470516, 48.82743707358488], [2.384345535850388, 48.8274443045483], [2.384376185146007, 48.827458904436696]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;2.764374;3.0;8.2931219;1.0;3.0;125219.3669265;Bâti de 4 à 8 étages;603512.4580546;2010-07-21T04:00:00+02:00;Ra1_et_encorbt_au_5;2010-07-21T04:00:00+02:00;13;;5.0;50.0;536041;750175182;750000013;750031416;750000050;;0.0;0.0;
48.8273719603,2.38463602182;"{""type"": ""Polygon"", ""coordinates"": [[[2.384642599218182, 48.82737831041744], [2.384646985809988, 48.827375504464285], [2.384618480444647, 48.82736206597284], [2.384642599218182, 48.82737831041744]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;0.5671473;7.0;3.970031;1.0;3.0;125210.925204;Bâti de 4 à 8 étages;603532.370727;2010-07-21T04:00:00+02:00;Ra3_et_5a7;2010-07-21T04:00:00+02:00;13;;7.0;50.0;536049;750175190;750000013;750031416;750000050;;0.0;0.0;
48.8274243549,2.3847390432;"{""type"": ""Polygon"", ""coordinates"": [[[2.3847772780421073, 48.827460345204365], [2.384786061081445, 48.82745216653235], [2.384774750962177, 48.827446862314424], [2.384792460243811, 48.82743048951787], [2.384709856371621, 48.82739120630209], [2.384673792276123, 48.82742439913304], [2.384676042093934, 48.827425478263045], [2.384685659918919, 48.82741662666631], [2.384700376947829, 48.82742364913334], [2.3847772780421073, 48.827460345204365]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;26.3392873;4.0;105.3571494;1.0;2.0;125216.914533;Bâti de 1 à 3 étages;603540.2719371;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+3;3.0;50.0;536062;750175593;750000013;750031416;750000050;;0.0;0.0;
48.8276316928,2.38436425305;"{""type"": ""Polygon"", ""coordinates"": [[[2.384382277674946, 48.82764939393255], [2.384392952879501, 48.82763925270857], [2.384371090979606, 48.82762890802117], [2.384383387169934, 48.82761784339328], [2.3843787410512, 48.827615631305676], [2.384366274668431, 48.82762645852223], [2.384344465292466, 48.827616050244785], [2.384333277962699, 48.82762630214903], [2.384382277674946, 48.82764939393255]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;6.7723526;1.0;6.7723526;0.0;3.0;125239.8868365;Bâti de 4 à 8 étages;603512.2777029;2010-07-21T04:00:00+02:00;encorbt_au_4;2010-07-21T04:00:00+02:00;13;;4.0;50.0;536083;750175614;750000013;750031416;750000050;;0.0;0.0;
48.8275011342,2.38448222501;"{""type"": ""Polygon"", ""coordinates"": [[[2.38447966711214, 48.82750819832058], [2.384487634491064, 48.82750092383786], [2.384491575487986, 48.827497325948926], [2.384484774564641, 48.827494064000625], [2.384480825171988, 48.827497680732975], [2.384472872701151, 48.827504961587564], [2.38447966711214, 48.82750819832058]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;0.9199130999999999;1.0;0.9199130999999999;0.0;2.0;125225.2818192;Bâti de 1 à 3 étages;603521.0698495;2010-07-21T04:00:00+02:00;encorbt_au_1;2010-07-21T04:00:00+02:00;13;;1.0;50.0;536087;750169263;750000013;750031416;750000050;;0.0;0.0;
48.8285714964,2.38366480859;"{""type"": ""Polygon"", ""coordinates"": [[[2.383745823060639, 48.828621741329], [2.3837667644205, 48.828602007315205], [2.383583825933569, 48.82852099985667], [2.383564041340075, 48.82854186041865], [2.383745823060639, 48.828621741329]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;43.5921477;4.0;174.3685906;0.0;3.0;125344.2554505;Bâti de 4 à 8 étages;603460.9505661;2010-07-21T04:00:00+02:00;2a5;2010-07-21T04:00:00+02:00;13;;5.0;50.0;529854;750177685;750000013;750033361;750000050;;0.0;0.0;
48.8274033222,2.38486154524;"{""type"": ""Polygon"", ""coordinates"": [[[2.384854650885232, 48.82742924721538], [2.384866601675864, 48.82741835074121], [2.384885465101338, 48.827425839701704], [2.384909938740101, 48.82740289489495], [2.384893814076154, 48.82739279745675], [2.38485481620255, 48.827374138164174], [2.384850126212675, 48.8273777223196], [2.384848973460015, 48.827377175867724], [2.384813222252019, 48.82740971920493], [2.384814352008841, 48.82741025204825], [2.384854650885232, 48.82742924721538]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;23.7792418;8.0;190.2339347;1.0;3.0;125214.2416955;Bâti de 4 à 8 étages;603549.1805096;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+7;7.0;50.0;536110;750169681;750000013;750031416;750000050;;0.0;0.0;
48.8273846708,2.3849677362;"{""type"": ""Polygon"", ""coordinates"": [[[2.385027663806182, 48.82746212676761], [2.385032848613459, 48.82745805049557], [2.3850202768895032, 48.827452071580424], [2.385065240198556, 48.82741156934474], [2.385050657615511, 48.82740446217377], [2.385036794283895, 48.82741686876975], [2.385016864656022, 48.82740749916042], [2.385062462598631, 48.82736596591034], [2.384998111955309, 48.827340508356194], [2.384994258437001, 48.827344200246614], [2.384966586940065, 48.827331891240405], [2.384961044949733, 48.827336686069856], [2.384925714492705, 48.827319950529635], [2.38485481620255, 48.827374138164174], [2.384893814076154, 48.82739279745675], [2.384909938740101, 48.82740289489495], [2.384922324640852, 48.82741065182359], [2.384919813089585, 48.82741305281997], [2.385006424510293, 48.827452462623434], [2.385027663806182, 48.82746212676761]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;122.1659346;9.0;1099.4934113;1.0;3.0;125213.06276;Bâti de 4 à 8 étages;603556.3459951;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+8;8.0;50.0;536140;750170101;750000013;750031416;750000050;;0.0;0.0;
