,id,surface_emprise,hauteur_mediane,typologie_bati_apur,periode_construction,centroide
0,5e5ec15f-1c8d-428c-a27e-d506a4793995,20.330931100694794,5.000000000000006,3,6,"(656031.6166666666, 6856870.68)"
1,f78b608b-fea6-4765-a345-4b8331882ea8,48.72355066666143,5.300000000000007,3,6,"(656036.21, 6856869.638571428)"
2,5e77b126-fae8-4f16-b9ed-333704d390d4,102.2402544903193,2.150000000000007,3,6,"(656033.958, 6856879.308)"
3,bf8fe32b-48ad-4f19-8181-c508b4ff3971,822.687846475302,17.760000000000016,3,3,"(656027.216, 6856903.642666666)"
4,5ac7dfc2-eb3c-4694-afac-6d4869d9aca0,398.8048533404225,22.80000000000001,3,6,"(656017.4325, 6856920.49125)"
5,cc435c41-ec60-4c0e-9298-e131aba12dc4,352.5129729872368,7.190000000000008,3,6,"(656053.26, 6856928.7328571435)"
6,f2eb796e-7648-4fa9-8880-4e06f3bc1091,246.63719918715776,6.760000000000009,3,6,"(656032.898, 6856918.572)"
7,32a8cb96-0f79-40d4-94ee-adfbd881c770,127.80920620349227,7.300000000000008,3,6,"(656025.0079999999, 6856877.312000001)"
8,acf4bf8a-ec79-40f6-8469-1078b35b2755,150.61155565797563,8.40000000000001,3,6,"(656060.0800000001, 6856948.031428571)"
9,527a29da-a1de-4ecb-99cb-611ad9debf10,1769.7896870301104,9.3,3,8,"(655780.7791891892, 6857184.935405405)"
10,398b4f04-4f63-4b46-81f1-b5a2380992f5,96.98963819947492,6.8,0,5,"(656238.8615384615, 6856534.44923077)"
11,ac51c2a5-2cb9-4f59-af94-94bc3fa9a808,63.46532323335032,4.199999999999999,3,7,"(656238.6336363637, 6856528.070909091)"
12,bbb462cb-be3a-44e6-b8cf-adb09fc02a2c,62.83062357397025,8.0,1,7,"(656242.7066666665, 6856522.024444445)"
13,774eaa37-64a2-44ed-8fce-c09bbd1c01c0,653.864379097016,8.5,3,9,"(656204.3982758621, 6856524.319310345)"
14,4681d62c-a508-482d-a3bc-6cc4ce080979,149.425133819287,4.300000000000001,3,5,"(656228.85, 6856525.547368422)"
15,b0ad6fc8-6f57-44e8-b37d-8658ea3d1e05,134.75200617372542,6.4,3,9,"(656218.9915384615, 6856519.89)"
16,8d1fd9a2-dc0f-4619-b696-b241f888d748,34.08407859128543,6.6,0,4,"(656152.4044444445, 6856505.398888889)"
17,a366389f-4780-41dc-97ff-f941b92df74f,4823.192476135015,7.4,3,10,"(656190.7153658535, 6856494.139512194)"
